카테고리,diet,name,weight,Kcal,Protein,Fat,Carbohydrate,Sugar,P,K,Na,ingredient,category,main_ingred,sauce
부수반찬,R108_380100000-0001,새송이버섯구이,80,32.464,1.6352,2.5288,3.6624,0.14,9.3744,151.5056,2.8896,"'식용유': 3,'큰느타리버섯(새송이버섯)': 70",구이류,새송이버섯,
부수반찬,R110_484010000-0001,새우애호박볶음,50,31.675,3.0892,1.17085,2.0845,0.90645,45.015,128.145,15.275,"'새우류': 25,'혼합식물성유': 2,'애호박': 70,'마늘': 1,'빨간 고추': 2",볶음류,새우|애호박,
부수반찬,R111_532081900-0001,쇠고기메란장조림,100,124.94,7.67505,7.3089,5.694,2.33415,107.587,137.985,442.085,"'메추리알': 30,'소고기': 20,'간장': 5,'양파': 10,'생강': 2,'마늘': 1.5,'설탕': 1,'청주': 3,'물엿': 3",조림류,메추리알|소고기,간장|물엿
부수반찬,R112_541000000-0001,수제김말이튀김,100,82.325,0.4905,8.03255,2.4798,0.111,5.9464,22.3603,2.925,"'식용유': 8,'참김': 2,'쪽파': 1.5,'당근': 1.5,'곤약국수': 5,'밀가루': 2.5",튀김류,참김|곤약국수,
부수반찬,R109_427060000-0001,수제섭산적,170,416.245,23.6402,27.29129,17.10999,3.0889,243.0915,509.881,795.141,"'소고기': 30,'돼지고기': 30,'후추': 0.5,'간장': 5,'혼합식물성유': 5,'참기름': 3,'대파': 5,'양파': 10,'당근': 10,'빵가루': 10",전·적및부침류,소고기|돼지고기,간장
부수반찬,R109_433000000-0001,스크램블에그,110,205.205,15.74133,13.068,4.32465,2.42,233.3672,182.7485,525.701,"'소금': 1,'우유': 10,'달걀': 50,'식용유': 2.5,'당근': 10",전·적및부침류,달걀|우유,
부수반찬,R112_562000000-0001,야채튀김+진간장소스,100,197.535,2.6685,10.90195,22.3917,4.3505,27.695,110.305,407.23,"'진간장': 5,'식용유': 10,'참기름': 0.5,'청피망': 20,'양파': 30,'양파': 10,'당근': 20,'초록 고추': 5,'빨간 고추': 5,'전분': 5,'밀가루': 15",튀김류,피망|양파|당근,간장
부수반찬,R109_439010000-0001,양배추야채전,100,101.6,1.028,5.118,13.682,2.874,23,64.274,5.9,"'식용유': 5,'양배추': 60,'전분가루': 10",전·적및부침류,양배추,
부수반찬,R114_640230000-0001,양상추샐러드+발사믹드레싱,160,53.744,1.144,0.22352,12.82256,9.564,21,68.1088,16.624,"'치커리': 5,'오이': 10,'적양배추': 5,'상추': 30,'당근': 5,'설탕': 5,'식초': 2,'발사믹식초': 20",생채·무침류,상추|오이,식초
부수반찬,R312-560000000-0001,양파링튀김,100,179.38,4.029,9.192,19.616,3.931,41.502,65.06,45.3,"'달걀': 10,'혼합식물성유': 8,'양파': 60,'밀가루': 10,'빵가루': 10",튀김류,양파,
부수반찬,R111-528000000-0001,연근조림,100,38.55,0.49,0.021,9.3355,1.646,22.5,143.4,6.3,"'연근': 30,'물엿': 5",조림류,연근,물엿
부수반찬,R114-645000000-0001,오이생채,100,32.21,0.606,2.01855,3.22125,2.22445,23.265,104.745,1.91,"'참기름': 2,'오이': 50,'마늘': 1,'설탕': 1.5,'식초': 1.5",생채·무침류,오이,식초
부수반찬,R110_485010000-0001,오이양파볶음,80,27.044,0.55984,2.01628,1.90336,1.06504,6.9576,37.664,272.272,"'소금': 1,'참기름': 2.5,'오이': 50,'양파': 10,'마늘': 1",볶음류,오이|양파,
부수반찬,R110_507000000-0001,청경채볶음,100,26,1.0615,2.0646,1.4122,0.0023,29.56,261.69,11.93,"'식용유': 2,'청경채': 70,'마늘': 1",볶음류,청경채,
주반찬,R108-352130000-0001,가자미구이+유자소스,200,194.32,17.7096,8.9652,6.852,4.352,160.44,314.58,186.32,"'가자미류': 40,'식용유': 3,'유자청': 16,'식초': 10",구이류,가자미,유자청
주반찬,R114_612090000-0001,닭살냉채,240,233.856,36.80064,2.19912,17.12328,10.9716,392.6184,672.7776,111.936,"'닭가슴살': 60,'콩나물': 20,'오이': 20,'양파': 10,'마늘': 2,'당근': 10,'설탕': 3,'고추냉이': 2,'식초': 5",생채·무침류,닭가슴살|콩나물|오이,고추냉이|식초
