,식품명,재료,분량,
150,야채밀전병,당근,30g,
151,야채밀전병,표고버섯,30g,
152,야채밀전병,식용유,,
153,야채밀전병,밀가루,15g,
154,깻잎찜,깻잎,10g,
155,깻잎찜,당근,2g,
156,새송이버섯피클,새송이버섯,30g,
157,새송이버섯피클,식초,3g,
158,새송이버섯피클,그린스위트,1.5g,
159,새송이버섯피클,피클링스파이스,소량,
160,카스테라잡쌀경단,카스테라,20g,
161,카스테라잡쌀경단,찹쌀가루,50g,
162,저염김밥,계란,1개,
163,저염김밥,소금,1g,
164,저염김밥,당근,15g,
165,저염김밥,오이,10g,
166,저염김밥,우엉,10g,
167,저염김밥,식용유,,
168,저염김밥,김,2g,김밥용
169,저염김밥,쌀밥,210g,
170,저염김밥,참기름,3g,
171,팽이버섯맑은국,팽이버섯,40g,
172,팽이버섯맑은국,마늘,2g,다진
173,팽이버섯맑은국,대파,5g,
174,무쌈말이,무,30g,
175,무쌈말이,식초,3g,
176,무쌈말이,그린스위트,1.5g,
177,무쌈말이,피클링스파이스,소량,
178,무쌈말이,비트,5g,
179,무쌈말이,팽이버섯,5g,
180,무쌈말이,적양배추,5g,
181,무쌈말이,파프리카,5g,노랑
182,피망튀김,청피망,15g,
183,피망튀김,홍피망,15g,
184,피망튀김,밀가루,5g,
185,피망튀김,계란,5g,
186,피망튀김,빵가루,10g,
187,피망튀김,식용유,,
188,콩나물밥+간장양념장,쌀,60g,
189,콩나물밥+간장양념장,콩나물,70g,
190,콩나물밥+간장양념장,표고버섯,20g,
191,콩나물밥+간장양념장,당근,5g,
192,콩나물밥+간장양념장,식용유,,
192,콩나물밥+간장양념장,진간장,5g,
193,콩나물밥+간장양념장,참기름,0.5g,
194,콩나물밥+간장양념장,물,5.5g,
195,콩나물밥+간장양념장,홍초,,다진
196,콩나물밥+간장양념장,청초,,다진
197,콩나물밥+간장양념장,양파,소량,다진
198,숭늉,누룽지,50g,
199,도토리묵전&육전,도토리묵,50g,
200,도토리묵전&육전,쇠고기,20g,
201,도토리묵전&육전,맛술,,
202,도토리묵전&육전,참기름,,
203,도토리묵전&육전,후추,소량,
204,도토리묵전&육전,밀가루,5g,
205,도토리묵전&육전,계란,5g,
206,도토리묵전&육전,식용유,,
207,상추겉절이,상추,30g,
208,상추겉절이,양파,10g,
209,상추겉절이,마늘,1g,다진
210,상추겉절이,고춧가루,2g,
211,상추겉절이,참기름,2g,
212,상추겉절이,설탕,1.5g,
212,상추겉절이,식초,,
213,저염오이피클,오이,30g,
214,저염오이피클,식초,3g,
215,저염오이피클,그린스위트,1.5g,
216,저염오이피클,피클링스파이스,소량,
217,크림스프,버터,11g,
218,크림스프,밀가루,11g,
219,크림스프,양파,40g,
220,크림스프,버터,2g,
221,크림스프,생크림,25g,
222,크림스프,우유,13g,
223,크림스프,소금,1g,
224,크림스프,후추,소량,
225,스크램블에그,당근,10g,
226,스크램블에그,계란,50g,
227,스크램블에그,우유,10g,
228,스크램블에그,식용유,,
229,스크램블에그,소금,1g,
230,청양초콩나물국,마늘,1g,다진
231,청양초콩나물국,소금,1g,
232,청양초콩나물국,콩나물,50g,
233,청양초콩나물국,청양초,2g,
234,청양초콩나물국,참기름,소량,
235,동태포전,동태포,70g,
236,동태포전,후추,소량,
237,동태포전,밀가루,10g,
238,동태포전,계란,10g,
239,동태포전,식용유,,
240,도토리묵김무침,도토리묵,70g,
241,도토리묵김무침,김,0.5g,저염
242,도토리묵김무침,쪽파,4g,
243,도토리묵김무침,마늘,1g,다진
244,도토리묵김무침,간장,5g,
245,도토리묵김무침,참기름,3g,
246,파프리카피클,파프리카,20g,초록
247,파프리카피클,파프리카,20g,빨강
248,파프리카피클,식초,3g,
249,파프리카피클,그린스위트,1.5g,
250,파프리카피클,피클링스파이스,소량,
251,미소된장국,건미역,3g,
252,미소된장국,팽이버섯,10g,
253,미소된장국,마늘,1g,다진
254,미소된장국,대파,2g,
255,미소된장국,된장,10g,
256,닭살냉채,닭가슴살,60g,
257,닭살냉채,당근,10g,
258,닭살냉채,양파,10g,
259,닭살냉채,오이,20g,
260,닭살냉채,콩나물,20g,
261,닭살냉채,겨자분,2g,
262,닭살냉채,설탕,3g,
263,닭살냉채,식초,5g,
264,닭살냉채,마늘,2g,다진
265,가지찜,가지,70g,
266,가지찜,마늘,2g,다진
267,가지찜,미향,5g,
268,가지찜,들기름,3g,
269,무채국,무,70g,
270,무채국,마늘,1g,다진
271,무채국,소금,1g,
272,삼치엿장조림,삼치,40g,
273,삼치엿장조림,전분,5g,
274,삼치엿장조림,식용유,,
275,삼치엿장조림,마늘,1g,다진
276,삼치엿장조림,물엿,5g,
277,야채튀김+진간장소스,양파,30g,
278,야채튀김+진간장소스,당근,20g,
279,야채튀김+진간장소스,청피망,20g,
280,야채튀김+진간장소스,밀가루,15g,
281,야채튀김+진간장소스,전분,5g,
282,야채튀김+진간장소스,식용유,,
282,야채튀김+진간장소스,진간장,5g,
283,야채튀김+진간장소스,참기름,0.5g,
284,야채튀김+진간장소스,물,5.5g,
285,야채튀김+진간장소스,홍초,,다진
286,야채튀김+진간장소스,청초,,다진
287,야채튀김+진간장소스,양파,소량,다진
288,??,새송이버섯,30g,
289,??,식초,3g,
290,??,그린스위트,1.5g,
291,??,피클링스파이스,소량,
292,표고버섯국,표고버섯,4,
293,표고버섯국,마늘,1g,다진
294,표고버섯국,대파,5g,
295,표고버섯국,홍초,2g,
296,수제돈까스+데미소스,돼지고기,60g,"돈등심, 돈가스용"
297,수제돈까스+데미소스,맛술,,
298,수제돈까스+데미소스,후추,소량,
299,수제돈까스+데미소스,밀가루,10g,
300,수제돈까스+데미소스,계란,10g,
301,수제돈까스+데미소스,빵가루,15g,
302,수제돈까스+데미소스,식용유,,
302,수제돈까스+데미소스,데미그라스소스,20g,
303,수제돈까스+데미소스,우스터소스,2.5g,
304,수제돈까스+데미소스,물,5g,
305,양배추샐러드+케요소스,양배추,30g,
306,양배추샐러드+케요소스,적양배추,10g,
307,양배추샐러드+케요소스,당근,10g,
308,양배추샐러드+케요소스,오이,20g,
308,양배추샐러드+케요소스,케찹,,
309,양배추샐러드+케요소스,마요네즈,8g,
310,양배추샐러드+케요소스,설탕,3.5g,
311,대구탕,무,40g,
312,대구탕,양파,10g,
313,대구탕,마늘,1g,다진
314,대구탕,국간장,5g,
315,대구탕,대구,40g,
316,대구탕,대파,3g,
317,대구탕,홍초,2g,
318,오이양파볶음,오이,50g,
319,오이양파볶음,양파,Wg,
320,오이양파볶음,마늘,1g,
321,오이양파볶음,참기름,,
322,오이양파볶음,소금,1g,
323,당근채전,당근,30g,
324,당근채전,밀가루,10g,
325,당근채전,식용유,,
326,무생채,무,70g,
327,무생채,고춧가루,2g,
328,무생채,쪽파,3g,
329,무생채,식초,2g,
330,무생채,설탕,2g,
331,무생채,참기름,2g,
332,가지냄국,가지,70g,
333,가지냄국,쪽파,,
333,가지냄국,홍초,2g,
334,가지냄국,마늘,2g,다진
335,가지냄국,식초,5g,
336,가지냄국,설탕,1g,
337,가지냄국,소금,1g,
338,가자미구이+유자소스,가자미,40g,
339,가자미구이+유자소스,식용유,,
339,가자미구이+유자소스,유자청,1큰술,
340,가자미구이+유자소스,식초,소량,
342,청경채볶음,청경채,70g,
343,청경채볶음,마늘,1g,다진
343,청경채볶음,식용유,,
344,돼지고기잡채밥,돼지고기,20g,채
345,돼지고기잡채밥,후추,소량,
346,돼지고기잡채밥,당근,10g,
347,돼지고기잡채밥,표고버섯,3g,
348,돼지고기잡채밥,애호박,10g,
348,돼지고기잡채밥,양파,,
349,돼지고기잡채밥,대파,2g,
350,돼지고기잡채밥,식용유,,
351,돼지고기잡채밥,당면,10g,
352,돼지고기잡채밥,참기름,2g,
353,돼지고기잡채밥,간장,,
354,돼지고기잡채밥,쌀밥,210g,
355,파계란국,계란,50g,
356,파계란국,대파,5g,
357,파계란국,소금,1g,
358,과리고추참쌀집,꽈리고추,50g,
359,과리고추참쌀집,찹쌀가루,5g,
360,과리고추참쌀집,참기름,3g,
361,과리고추참쌀집,마늘,1g,다진
362,무나물볶음,무,50g,
363,무나물볶음,식용유,,
364,무나물볶음,참기름,2g,
365,저염오이피클,오이,30g,
366,저염오이피클,식초,3g,
367,저염오이피클,그린스위트,1.5g,
367,저염오이피클,피클링스파이스,소량,
368,두부된장극,두부,40g,
369,두부된장극,애호박,20g,
370,두부된장극,양파,20g,
371,두부된장극,된장,,
372,쇠고기메란장조림,쇠고기,20g,장조림용
373,쇠고기메란장조림,청주,3g,
374,쇠고기메란장조림,메추리알,30g,
375,쇠고기메란장조림,양파,10g,
376,쇠고기메란장조림,마늘,1.5g,다진
377,쇠고기메란장조림,생강,2g,다진
378,쇠고기메란장조림,간장,5g,
379,쇠고기메란장조림,물엿,3g,
380,쇠고기메란장조림,설탕,1g,
381,양파링튀김,양파,60g,
382,양파링튀김,밀가루,10g,
383,양파링튀김,계란,10g,
384,양파링튀김,빵가루,10g,
385,양파링튀김,식용유,,
386,??,상추,30g,
387,??,양파,10g,
388,??,마늘,2g,다진
389,??,고춧가루,2g,
390,??,참기름,2g,
391,??,설탕,,
391,??,식초,1.5g,
392,연어구이+브로콜리집가니쉬,연어,,
393,연어구이+브로콜리집가니쉬,후추,소량,
394,연어구이+브로콜리집가니쉬,소금,1g,
395,연어구이+브로콜리집가니쉬,브로콜리,20g,
396,스크램블에그,계란,50g,
397,스크램블에그,우유,10g,
398,스크램블에그,당근,10g,
399,스크램블에그,식용유,,
400,??,마늘,,다진
401,??,소금,1g,
402,??,콩나물,50g,
403,??,청양초,2g,
404,??,홍초,2g,
405,??,참기름,소량,
406,동태포전,동태포,50g,
407,동태포전,후추,소량,
408,동태포전,밀가루,10g,
409,동태포전,계란,10g,
410,동태포전,식용유,,
410,동태포전,진간장,5g,
411,동태포전,물,5.5g,
412,동태포전,홍초,,다진
413,동태포전,청초,,다진
414,동태포전,양파,소량,다진
415,애호박말이,애호박,30g,
416,애호박말이,양파,5g,
417,애호박말이,당근,5g,
418,애호박말이,대파,5g,
419,애호박말이,돼지고기,20g,다진
420,애호박말이,두부,16g,
421,애호박말이,계란,10g,
422,애호박말이,빵가루,13g,
423,애호박말이,후추,소량,
424,애호박말이,전분,5g,
425,애호박말이,홍초,2g,
426,애호박말이,식용유,,
427,파프리카피클,파프리카,20g,초록
428,파프리카피클,파프리카,20g,빨강
429,파프리카피클,식초,3g,
430,파프리카피클,그린스위트,1,
430,파프리카피클,피클링스파이스,소량,
431,꽃게된장국,꽃게,35g,
432,꽃게된장국,무,40g,
433,꽃게된장국,애호박,25g,
434,꽃게된장국,풋고추,5g,
435,꽃게된장국,대파,5g,
436,꽃게된장국,마늘,2g,다진
437,꽃게된장국,된장,5g,
438,소고기로스구이,참기름,3g,
439,소고기로스구이,쇠고기,,구이용
440,소고기로스구이,소금,1g,
441,소고기로스구이,후추,소량,
442,바지락미역국,건미역,3g,
443,바지락미역국,참기름,,
444,바지락미역국,바지락살,35g,
445,바지락미역국,마늘,1g,다진
446,바지락미역국,국간장,5g,
447,임연수구이,식용유,,
448,임연수구이,임연수,80g,
449,임연수구이,소금,,
450,도라지합쌀튀김,도라지,50g,
