식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
육개장,국 및 탕류,육개장,소,100g,30,3.68,0.99,1.49,0.76,42,121,201,440g
육개장_닭고기,국 및 탕류,육개장,닭,100g,20,2.74,0.42,1.41,0.57,40,106,167,700g
장어탕,국 및 탕류,장어탕,장어,100g,67,4.32,3.91,3.68,2.66,72,146,387,800g
재첩국,국 및 탕류,재첩국,재첩,100g,23,0.67,0.29,4.54,0,6,22,126,350g
조개국,국 및 탕류,조개국,조개,100g,16,1.67,0.89,0.25,0.18,24,43,297,400g
콩나물국,국 및 탕류,콩나물국,콩나물,100g,6,0.74,0.09,0.61,0.16,12,37,219,400g
토란국,국 및 탕류,토란국,토란,100g,16,1,0.12,2.61,0.27,16,109,190,400g
해장국_뼈다귀,국 및 탕류,해장국,뼈다귀,100g,26,3.19,0.97,1.06,0.63,29,78,346,800g
해장국_선지,국 및 탕류,해장국,선지,100g,29,3.86,0.96,1.23,0,13,30,312,600g
갈치찌개,찌개 및 전골류,갈치찌개,갈치,100g,38,5.27,1,1.95,0.98,61,177,91,250g
감자탕,찌개 및 전골류,감자탕,감자,100g,71,6.31,4.06,2.27,0,43,98,328,530g
김치전골,찌개 및 전골류,김치전골,김치,100g,73,3.12,4.23,5.68,0.79,51,202,299,270g
김치찌개_꽁치,찌개 및 전골류,김치찌개,김치,100g,89,7.14,5.18,3.54,0.7,96,227,249,270g
김치찌개_돼지고기,찌개 및 전골류,김치찌개,김치,100g,45,4.25,2.71,1.04,0.05,59,149,207,200g
김치찌개_어묵,찌개 및 전골류,김치찌개,김치,100g,38,1.82,0.59,6.31,1.6,27,153,256,260g
김치찌개_참치,찌개 및 전골류,김치찌개,김치,100g,51,3.59,2.82,2.9,0.15,54,219,264,300g
김치찌개_햄,찌개 및 전골류,김치찌개,김치,100g,31,1.47,1.39,3.17,0.04,33,105,445,300g
국밥_돼지머리,밥류,국밥,돼지,100g,137,6.7,5.16,15.94,0.16,24,47,181,900g
국밥_순대국밥,밥류,국밥,순대,100g,75,3.17,2.28,10.38,0.17,31,34,126,900g
국밥_콩나물,밥류,국밥,콩나물,100g,52,1.45,0.24,10.93,0,16,42,172,780g
기장밥,밥류,기장밥,쌀,100g,166,3.44,0.57,36.77,0,28,25,1,200g
김밥,밥류,김밥,쌀,100g,140,4.84,4.55,19.98,0,55,118,307,230g
김밥_김치,밥류,김밥,김치,100g,130,4.3,4.03,19.17,0.29,64,126,349,270g
김밥_날치알,밥류,김밥,알,100g,177,6.1,4.26,28.66,1.43,82,118,299,260g
김밥_돈가스,밥류,김밥,돼지,100g,202,5.77,5.81,31.64,1.33,74,134,241,320g
김밥_소고기,밥류,김밥,소,100g,179,6.46,5.56,25.78,0.03,64,96,267,250g
김밥_참치,밥류,김밥,참치,100g,174,7,7.22,20.26,0.71,73,123,335,250g
김밥_채소,밥류,김밥,채소,100g,158,4.6,3.65,26.65,0.14,69,164,309,280g
김밥_치즈,밥류,김밥,치즈,100g,177,6.24,7.03,22.1,0.21,15,41,169,270g
김밥_풋고추,밥류,김밥,고추,100g,169,4.88,4.41,27.52,0.09,70,148,327,290g
덮밥_낙지,밥류,덮밥,낙지,100g,150,5.88,3.34,24.12,2.16,47,95,212,350g
덮밥_닭고기,밥류,덮밥,닭,100g,125,11.4,2.18,14.82,1.07,108,137,153,410g
덮밥_돼지고기(제육),밥류,덮밥,돼지,100g,202,9.43,10.77,16.86,1.98,101,196,174,470g
덮밥_불고기,밥류,덮밥,소,100g,182,6.6,5.31,26.96,0.07,73,138,253,400g
덮밥_오징어,밥류,덮밥,오징어,100g,135,7.18,2.01,21.94,0.66,78,135,162,360g
보리밥,밥류,보리밥,보리,100g,161,2.9,0.24,36.77,2.57,34,28,4,200g
볶음밥,밥류,볶음밥,쌀,100g,183,5.56,2.76,33.97,0,61,99,212,350g
볶음밥_계란,밥류,볶음밥,달걀,100g,225,6.62,11.28,24.23,0.17,94,159,318,260g
볶음밥_김치,밥류,볶음밥,김치,100g,167,5.32,9.18,15.74,13.89,72,168,470,330g
볶음밥_새우,밥류,볶음밥,새우,100g,172,6.31,6.14,22.85,0.71,62,65,146,370g
