식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
브로콜리볶음,볶음류,브로콜리볶음,브로콜리,100g,51,4.42,1.28,5.53,1.42,89,412,94,90g
삼겹살볶음_묵은지김치,볶음류,삼겹살볶음,돼지,100g,151,5.76,10.49,8.4,3.62,90,365,604,200g
새우볶음,볶음류,새우볶음,새우,100g,83,9.91,2.21,5.96,3.99,127,271,326,200g
소고기볶음_고추장,볶음류,소고기볶음,소,100g,197,14.36,10.79,10.7,9.7,147,329,554,220g
소고기볶음_버섯,볶음류,소고기볶음,소,100g,144,11.59,7.73,6.92,2.85,173,365,369,230g
소고기볶음_채소,볶음류,소고기볶음,소,100g,126,12.8,5.4,6.44,4.53,141,309,269,230g
소시지볶음,볶음류,소시지볶음,돼지,100g,280,11.94,19.38,14.41,5.83,165,158,887,200g
애호박볶음,볶음류,애호박볶음,호박,100g,59,1.32,3.62,5.3,0.42,40,235,447,50g
양파볶음,볶음류,양파볶음,양파,100g,56,0.99,1.54,9.51,9.15,23,139,274,80g
어묵볶음,볶음류,어묵볶음,어묵,100g,197,8.41,7.29,24.33,6.31,90,130,818,140g
어묵볶음_채소,볶음류,어묵볶음,채소,100g,152,6.33,6.41,17.2,1.26,71,175,632,90g
오징어볶음,볶음류,오징어볶음,오징어,100g,128,9.85,6.52,7.43,1.93,137,278,310,200g
유산슬,볶음류,유산슬,해물,100g,86,7.54,4.4,4.1,2.15,123,241,211,220g
잔멸치볶음_견과류,볶음류,잔멸치볶음,견과류,100g,388,24.34,22.22,22.64,14.54,571,478,1753,50g
잔멸치볶음_꽈리고추,볶음류,잔멸치볶음,고추,100g,293,24.78,17.48,9.24,5.84,563,319,1266,50g
잔멸치볶음_풋고추,볶음류,잔멸치볶음,멸치,100g,256,28.24,8.32,16.94,10.62,614,253,2070,50g
닭볶음(닭갈비)_닭가슴살_피망,볶음류,닭볶음(닭갈비),닭,100g,122,16.39,5.65,1.38,0.29,178,354,490,80g
당근볶음,볶음류,당근볶음,당근,100g,95,0.93,6.63,7.79,4.5,27,278,216,90g
돼지고기볶음_김치,볶음류,돼지고기볶음,돼지,100g,161,11.81,10.05,5.93,2.9,139,343,510,230g
돼지고기볶음_채소,볶음류,돼지고기볶음,돼지,100g,169,16.57,7.59,8.63,6.67,175,350,346,230g
돼지고기볶음(제육볶음),볶음류,돼지고기볶음(제육볶음),돼지,100g,195,12.15,14.19,4.73,0.38,155,370,501,250g
떡볶이,볶음류,떡볶이,쌀,100g,144,3.51,2.96,25.96,4.4,46,84,391,180g
떡볶이_채소,볶음류,떡볶이,채소,100g,258,3.12,1.88,57.06,1.97,56,94,269,200g
라볶이,볶음류,라볶이,밀,100g,134,2.83,4.71,20.14,0.94,35,106,311,200g
마늘쫑볶음,볶음류,마늘쫑볶음,마늘쫑,100g,89,3.25,2.54,13.17,5.29,72,319,562,140g
마늘쫑볶음_멸치,볶음류,마늘쫑볶음,멸치,100g,117,7.54,2.78,15.42,5.7,172,305,505,50g
마파두부,볶음류,마파두부,두부,100g,109,7.29,6.48,5.36,2.45,95,115,352,160g
멸치볶음,볶음류,멸치볶음,멸치,100g,276,39.44,7.08,13.62,11.6,1081,598,2606,50g
멸치볶음_견과류,볶음류,멸치볶음,견과류,100g,414,30.4,24.32,18.36,14.02,937,601,1828,50g
멸치볶음_꽈리고추,볶음류,멸치볶음,고추,100g,253,23.62,14.08,7.96,6.24,547,453,1334,50g
멸치볶음_마늘쫑,볶음류,멸치볶음,마늘쫑,100g,277,32.4,10.84,12.42,4.26,1092,600,2501,50g
멸치볶음_풋고추,볶음류,멸치볶음,고추,100g,190,20.62,6,13.3,9.02,551,433,1345,50g
문어볶음_고추장,볶음류,문어볶음,고추,100g,88,10.97,1.02,8.62,5.44,125,253,487,200g
미역줄기볶음,볶음류,미역줄기볶음,미역,100g,77,0.96,5.95,4.85,0.55,24,63,505,80g
산적_돼지고기,전·적 및 부침류,산적,돼지,100g,200,29.06,8.56,1.55,0.06,206,311,586,170g
스크램블드에그,전·적 및 부침류,스크램블드에그,달걀,100g,216,11.81,17.59,2.56,0.45,190,138,369,110g
애호박전,전·적 및 부침류,애호박전,호박,100g,122,4.35,8.62,6.73,2.32,68,213,224,150g
완자전_돼지고기,전·적 및 부침류,완자전,돼지,100g,139,14.78,5.95,6.51,2.56,182,277,859,200g
완자전_소고기,전·적 및 부침류,완자전,소,100g,162,18.73,7.56,4.68,0.2,82,97,381,200g
완자전_참치,전·적 및 부침류,완자전,참치,100g,173,15,6.49,13.57,3.69,130,205,567,200g
완자전_해물,전·적 및 부침류,완자전,해물,100g,222,11.46,11.61,18.04,3.41,171,144,591,200g
채소전,전·적 및 부침류,채소전,채소,100g,145,3.57,4.5,22.59,2.06,38,173,259,100g
파전_해물,전·적 및 부침류,파전,해물,100g,171,5.5,8.4,18.29,0.82,92,127,300,150g
감자볶음,볶음류,감자볶음,감자,100g,100,1.75,4.84,12.41,3.37,38,311,318,100g
감자볶음_채소,볶음류,감자볶음,채소,100g,108,2.04,5.22,13.1,0.12,67,334,208,130g
건새우볶음,볶음류,건새우볶음,새우,100g,304,41.55,12.95,5.4,4.05,761,631,1554,20g
곱창볶음_돼지고기,볶음류,곱창볶음,돼지,100g,130,7.23,3,18.52,3.27,83,170,215,230g
김치볶음,볶음류,김치볶음,김치,100g,106,1.38,7.94,7.27,4.45,52,316,521,100g
김치볶음_참치,볶음류,김치볶음,김치,100g,122,8.33,6.68,7.12,1.83,97,290,480,100g
낙지볶음,볶음류,낙지볶음,낙지,100g,91,5.77,3.77,8.6,7.91,77,217,537,200g
닭발볶음,볶음류,닭발볶음,닭,100g,186,13.8,9.38,11.72,6.37,112,258,974,200g
닭볶음(닭갈비),볶음류,닭볶음(닭갈비),닭,100g,186,13.98,10.96,7.93,0.77,142,343,338,300g
장어구이_고추장,구이류,장어구이,장어,100g,259,19.82,17.21,6.18,0.44,249,262,322,100g
조개구이_키조개,구이류,조개구이,조개,100g,130,17.43,2.07,10.44,3.6,149,354,454,180g
조기구이,구이류,조기구이,조기,100g,177,19.33,10.86,0.44,0,227,267,1364,180g
참치구이_머리,구이류,참치구이,참치,100g,193,26.56,8.98,1.4,0,244,342,459,180g
치킨데리야끼,구이류,치킨데리야끼,닭,100g,208,16.54,9.01,15.21,0.11,122,233,267,340g
함박스테이크,구이류,함박스테이크,소,100g,174,12.1,10.73,7.19,0.06,126,233,198,200g
가지전,전·적 및 부침류,가지전,가지,100g,123,5.48,7.28,8.88,0.84,89,187,337,200g
감자전,전·적 및 부침류,감자전,감자,100g,133,1.72,6.54,16.79,1.81,46,406,293,200g
고구마전,전·적 및 부침류,고구마전,고구마,100g,227,2.92,7.98,35.99,14.26,49,343,87,140g
김치전,전·적 및 부침류,김치전,김치,100g,134,5.05,4.2,19.01,4.21,72,208,240,150g
달걀말이,전·적 및 부침류,달걀말이,달걀,100g,193,17.21,13.21,1.45,0,186,144,449,100g
달걀부침(달걀후라이),전·적 및 부침류,달걀부침(달걀후라이),달걀,100g,208,15.73,13.78,5.15,0.03,208,152,161,60g
달걀부침(달걀후라이)_햄,전·적 및 부침류,달걀부침(달걀후라이),달걀,100g,277,12.71,21.59,8.06,0,168,185,591,100g
두부부침,전·적 및 부침류,두부부침,두부,100g,140,10.92,9.77,2.07,0.24,193,213,429,100g
맛살전,전·적 및 부침류,맛살전,맛살,100g,165,7.48,6.24,19.69,1.14,124,46,559,200g
메밀전,전·적 및 부침류,메밀전,메밀,100g,161,4.02,0.64,34.79,0.3,105,143,145,180g
버섯전_표고버섯,전·적 및 부침류,버섯전,버섯,100g,181,10.13,9.98,12.74,1.89,119,302,317,150g
부추전,전·적 및 부침류,부추전,부추,100g,167,4.63,4.17,27.86,8.28,46,173,247,150g
꼬치구이_닭고기_대파,구이류,꼬치구이,닭,100g,245,17.85,14.7,10.35,1.66,180,294,417,170g
닭구이,구이류,닭구이,닭,100g,257,26.21,13.39,7.8,0,263,399,751,340g
닭발구이,구이류,닭발구이,닭발,100g,196,18.15,9.41,9.7,0.31,65,146,827,220g
떡갈비,구이류,떡갈비,소,100g,202,21.38,11.82,2.46,0.4,170,299,404,200g
런천미트구이,구이류,런천미트구이,돼지,100g,303,17.56,24.38,3.27,1.71,281,409,954,160g
뱅어포구이,구이류,뱅어포구이,뱅어포,100g,374,34.37,15.17,25.07,15.91,841,366,1479,70g
버섯구이,구이류,버섯구이,버섯,100g,52,5.16,1.38,4.78,0.11,142,399,492,80g
버섯구이_새송이버섯,구이류,버섯구이,버섯,100g,84,4.29,2.21,11.66,4.54,132,374,463,80g
버섯구이표고버섯,구이류,버섯구이표고버섯,버섯,100g,100,4.34,1.06,18.14,1.4,137,439,435,80g
삼겹살구이,구이류,삼겹살구이,돼지,100g,467,22.56,41.69,0.35,0,202,370,576,200g
삼겹살구이_고추장,구이류,삼겹살구이,고추,100g,403,14.21,32.83,12.63,5.73,197,371,510,200g
삼치구이,구이류,삼치구이,삼치,100g,178,21.42,9.57,1.45,0.22,159,220,217,200g
새우구이,구이류,새우구이,새우,100g,145,23.41,4.44,2.82,0.03,241,319,330,180g
소불고기,구이류,소불고기,소,100g,170,16.41,9.66,4.26,3.24,153,309,418,200g
스테이크_소등심,구이류,스테이크,소,100g,194,30.22,8.07,0.14,0,228,332,134,200g
스테이크_소안심,구이류,스테이크,소,100g,183,34.82,4.83,0.13,0,263,385,103,200g
오리고기구이,구이류,오리고기구이,오리,100g,293,24.06,19.7,4.89,0,228,335,708,200g
오리불고기,구이류,오리불고기,오리,100g,145,6.75,9.05,9.05,6.29,94,302,467,250g
달걀찜_우유,찜류,달걀찜,달걀,100g,105,8.23,6.31,3.8,2.55,143,139,262,200g
닭찜,찜류,닭찜,닭,100g,107,12.37,6.09,0.6,0,113,166,224,300g
돼지갈비찜,찜류,돼지갈비찜,돼지,100g,194,13.29,12.32,7.44,0.13,162,332,478,300g
사태찜_소고기,찜류,사태찜,소,100g,110,12.1,5.17,3.67,0.13,85,145,302,300g
수육_소고기,찜류,수육,소,100g,166,28.43,4.94,2.04,0.11,126,134,31,300g
순대,찜류,순대,순대,100g,187,2.75,3.64,35.73,1.39,55,33,604,220g
아귀찜,찜류,아귀찜,아귀,100g,84,6.72,3.13,7.26,2.73,109,267,392,200g
애호박찜,찜류,애호박찜,호박,100g,181,9.5,6.48,21.18,1.81,84,144,161,100g
옥수수_찐옥수수,찜류,옥수수,옥수수,100g,185,6.68,2.42,34.2,2.36,209,306,90,200g
족발,찜류,족발,돼지,100g,233,26.04,13.91,0.93,0,643,206,345,250g
코다리찜,찜류,코다리찜,코다리,100g,94,14.49,1.35,6.08,2.5,155,304,620,200g
콩나물찜_해물,찜류,콩나물찜,콩나물,100g,56,6.67,1.01,4.97,0,86,186,223,200g
풋고추찜,찜류,풋고추찜,고추,100g,51,2.31,0.99,8.27,1.44,56,297,708,100g
가자미구이,구이류,가자미구이,가자미,100g,123,18.7,5.02,0.66,0,275,309,315,200g
갈비구이_소고기,구이류,갈비구이,소,100g,241,25.91,14.55,1.59,0.26,179,273,402,300g
갈치구이_기름,구이류,갈치구이,갈치,100g,138,21.54,5.48,0.6,0,237,418,297,200g
고등어구이_석쇠,구이류,고등어구이,고등어,100g,340,23.38,25.69,3.79,0,306,330,126,200g
곱창구이_소고기,구이류,곱창구이,소,100g,184,14.89,11.73,4.71,1.11,165,272,1315,150g
김구이_조미김,구이류,김구이,김,100g,470,20.4,30.2,29,0.2,291,1214,4011,5g
샤브샤브_소고기,찌개 및 전골류,샤브샤브,소,100g,43,5.38,1.62,1.8,1.49,66,221,96,600g
소고기전골,찌개 및 전골류,소고기전골,소,100g,63,7.89,3.24,0.46,0.05,77,176,299,300g
순두부찌개_김치,찌개 및 전골류,순두부찌개,두부,100g,35,2.98,1.59,2.17,0.32,51,126,151,200g
알탕,찌개 및 전골류,알탕,알,100g,39,6.37,0.74,1.74,0,113,164,250,520g
오리백숙,찌개 및 전골류,오리백숙,오리,100g,112,10.59,7.5,0.5,0.25,88,136,161,300g
오리탕,찌개 및 전골류,오리탕,오리,100g,121,9.5,6.56,6.08,3.58,120,297,317,600g
오징어찌개,찌개 및 전골류,오징어찌개,오징어,100g,34,3.3,0.22,4.77,0.45,59,197,285,250g
청국장찌개,찌개 및 전골류,청국장찌개,청국장,100g,47,5.03,2.11,1.92,0,70,157,242,200g
추어탕,찌개 및 전골류,추어탕,추어,100g,54,3.24,3.18,3.07,0,85,95,246,350g
콩비지찌개,찌개 및 전골류,콩비지찌개,콩,100g,69,6.74,3.08,3.57,3.25,83,277,289,400g
호박찌개_고추장,찌개 및 전골류,호박찌개,호박,100g,41,2.08,0.99,5.96,0.56,37,217,211,280g
고구마_찐고구마,찜류,고구마,고구마,100g,139,1.67,0.24,32.47,16.32,65,402,10,200g
가오리찜,찜류,가오리찜,가오리,100g,102,21.99,1.39,0.46,0.06,3,11,151,200g
갈비찜_소고기,찜류,갈비찜,소,100g,85,7.25,3.17,6.95,0.75,73,251,272,300g
감자_찐감자,찜류,감자,감자,100g,70,2.16,0.16,15.01,0.86,50,480,3,200g
깻잎찜,찜류,깻잎찜,깻잎,100g,97,5.21,5.86,5.96,1.33,77,565,792,100g
꼬막찜,찜류,꼬막찜,꼬막,100g,96,12.03,2.28,6.97,1.03,114,221,736,200g
꽈리고추찜,찜류,꽈리고추찜,고추,100g,104,3.59,2.09,17.69,0.44,58,239,316,100g
달걀찜_새우젓,찜류,달걀찜,달걀,100g,58,4.98,4.04,0.47,0,79,56,247,200g
얼갈이배추김치,김치류,얼갈이배추김치,배추,100g,63,1.59,1.45,10.94,0.38,26,189,246,80g
오이김치,김치류,오이김치,오이,100g,38,2.06,0.8,5.64,2.37,58,373,466,70g
가자미식해,젓갈류,가자미식해,가자미,100g,134,11.09,4.81,11.64,3.71,241,253,685,250g
갈치젓_양념,젓갈류,갈치젓,갈치,100g,149,15.53,5.08,10.28,4.91,276,728,5023,90g
멸치젓_양념,젓갈류,멸치젓,멸치,100g,90,11.4,1.6,7.4,0.6,424,364,6667,5g
새우젓_양념,젓갈류,새우젓,새우,100g,69,7.1,1.8,6,0.5,174,298,7402,10g
오징어젓_양념,젓갈류,오징어젓,오징어,100g,60,10.1,0.7,3.4,2.4,123,233,2151,10g
꽃게장_간장,장아찌·절임류,꽃게장,꽃게,100g,62,7.02,1.1,6.04,4.21,98,230,1089,250g
꽃게장_양념(고추가루),장아찌·절임류,꽃게장,꽃게,100g,97,10.23,0.61,12.61,8.77,160,433,804,200g
단무지,장아찌·절임류,단무지,무,100g,13,0.33,0.2,2.4,0.47,11,49,552,30g
더덕장아찌,장아찌·절임류,더덕장아찌,더덕,100g,141,4.47,0.89,28.9,15.38,134,320,1167,90g
매실장아찌_우메보시(일본),장아찌·절임류,매실장아찌,매실,100g,65,1.27,1.77,11.03,7.87,14,179,3728,30g
무짠지,장아찌·절임류,무짠지,무,100g,11,0.54,0.12,1.98,1.58,13,137,2382,50g
무초절임(치킨무),장아찌·절임류,무초절임(치킨무),무,100g,17,0.52,0.3,3.05,1.75,11,94,189,130g
오이장아찌,장아찌·절임류,오이장아찌,오이,100g,14,0.36,0.28,2.54,1.04,8,18,740,50g
오이지,장아찌·절임류,오이지,오이,100g,21,0.74,0.72,2.84,0,25,163,2050,50g
미숫가루,음료 및 차류,미숫가루,곡물,100g,70,2.08,2.27,10.42,0,63,105,24,300g
육회,수·조·어·육류,육회,소,100g,130,9.93,6.43,8.12,5.29,109,236,418,150g
오징어무침_채소,생채·무침류,오징어무침,오징어,100g,62,5.85,0.93,7.6,5.54,84,212,162,240g
오징어채무침,생채·무침류,오징어채무침,오징어,100g,258,23.6,5.53,28.41,18.71,210,156,1803,80g
톳나물무침,생채·무침류,톳나물무침,톳,100g,75,1.87,2.09,12.28,6.94,32,494,600,90g
파래무침,생채·무침류,파래무침,파래,100g,49,3.53,1.7,4.97,1.73,64,509,736,30g
파무침,생채·무침류,파무침,파래,100g,71,2.25,2.81,9.08,8.02,46,255,424,150g
풋고추된장무침_풋고추,생채·무침류,풋고추된장무침,고추,100g,124,2.37,7.35,12,8.43,54,244,183,100g
풋마늘무침,생채·무침류,풋마늘무침,마늘쫑,100g,71,4.14,1.04,11.27,5.95,71,444,477,100g
피조개무침,생채·무침류,피조개무침,조개,100g,52,4.71,0.95,6.07,3.72,63,221,223,100g
해초무침,생채·무침류,해초무침,해초,100g,39,0.95,0.16,8.52,3.95,16,39,862,100g
회무침,생채·무침류,회무침,해물,100g,82,8.09,1.65,8.6,4.53,124,348,275,250g
회무침_가오리,생채·무침류,회무침,해물,100g,81,11.33,1.16,6.35,5.47,283,210,354,230g
고들빼기김치,김치류,고들빼기김치,김치,100g,71,3,1.38,11.52,4.4,42,257,605,50g
깍두기,김치류,깍두기,무,100g,33,1.56,1.06,4.24,2.54,36,283,808,50g
깻잎김치,김치류,깻잎김치,깻잎,100g,62,2.82,1.72,8.92,4.04,55,384,924,50g
나박김치,김치류,나박김치,무,100g,10,0.46,0.38,1.15,0.34,10,89,377,100g
동치미,김치류,동치미,무,100g,14,0.29,0.37,2.28,1.45,12,87,412,200g
물김치_돌나물,김치류,물김치,돌나물,100g,5,0.31,0.08,0.75,0.35,5,45,237,400g
보쌈김치,김치류,보쌈김치,김치,100g,30,2.19,0.72,3.73,1.69,46,261,661,90g
부추김치,김치류,부추김치,부추,100g,47,2.68,1.16,6.36,4.08,44,435,761,50g
민들레잎무침,생채·무침류,민들레잎무침,민들레잎,100g,81,2.69,2.33,12.32,8.16,62,380,248,90g
버섯무침_느타리버섯,생채·무침류,버섯무침,버섯,100g,59,2.74,3.77,3.44,0.09,95,117,311,150g
부추무침,생채·무침류,부추무침,부추,100g,92,3.5,5.92,6.25,3.06,60,492,666,100g
부추무침_양파,생채·무침류,부추무침,양파,100g,44,1.83,1.07,6.81,5.79,37,231,326,100g
북어채무침,생채·무침류,북어채무침,북어,100g,188,28.4,2.91,12.05,5.59,357,652,756,150g
샐러드_감자,생채·무침류,샐러드,감자,100g,126,1.31,7.99,12.25,3.75,31,241,236,150g
샐러드_단호박,생채·무침류,샐러드,호박,100g,162,1.48,8.97,18.77,14.3,39,299,70,150g
샐러드_닭가슴살,생채·무침류,샐러드,닭,100g,135,7.17,9.49,5.36,3.25,115,255,88,150g
샐러드_새싹,생채·무침류,샐러드,새싹,100g,74,2.77,4.81,4.96,2.26,63,109,156,100g
샐러드_양배추,생채·무침류,샐러드,양배추,100g,150,2.69,11.71,8.47,7.95,55,289,97,150g
샐러드_양상추,생채·무침류,샐러드,양상추,100g,126,4.91,10.3,3.42,1.58,99,243,158,150g
샐러드_옥수수,생채·무침류,샐러드,옥수수,100g,166,1.96,11.94,12.68,6.01,45,176,483,160g
샐러드_참치,생채·무침류,샐러드,참치,100g,151,10.82,8.65,7.52,6.91,107,216,299,150g
샐러드_채소,생채·무침류,샐러드,채소,100g,145,1.16,13.35,5.1,4.72,29,219,74,160g
양장피,생채·무침류,양장피,해물,100g,133,7.3,6.63,10.95,0.44,96,174,496,220g
오이무침_부추,생채·무침류,오이무침,부추,100g,31,1.95,0.39,5.01,4.15,51,335,1070,100g
오이생채,생채·무침류,오이생채,오이,100g,69,1.78,2.9,8.96,8.04,52,254,474,50g
오이지무침,생채·무침류,오이지무침,오이,100g,52,0.96,3.51,4.21,2.78,22,100,1615,100g
겉절이_치커리,생채·무침류,겉절이,치커리,100g,56,1.49,3.65,4.4,3.71,30,291,177,100g
골뱅이무침_소면,생채·무침류,골뱅이무침,골뱅이,100g,109,5.01,1.47,18.91,3.57,44,99,281,230g
굴무침,생채·무침류,굴무침,굴,100g,77,6.68,2.31,7.3,2.74,113,232,204,80g
김무침,생채·무침류,김무침,김,100g,259,21.17,10.73,19.33,5.73,380,1287,1011,30g
낙지무침,생채·무침류,낙지무침,낙지,100g,77,12.41,1.24,3.96,0.14,77,135,340,180g
냉채_닭고기,생채·무침류,냉채,닭,100g,90,13.08,1.95,5,4.8,112,201,151,240g
다시마무침,생채·무침류,다시마무침,다시마,100g,48,2.57,1.18,6.8,0,53,183,2759,90g
달래무침,생채·무침류,달래무침,달래,100g,63,2.92,3.02,6.07,3.83,61,269,567,60g
도라지생채,생채·무침류,도라지생채,도라지,100g,77,2.06,0.51,16.15,5.25,48,162,283,160g
두릅무침_초고추장,생채·무침류,두릅무침,고추,100g,67,2.16,3.01,7.89,4.54,62,289,205,90g
마늘쫑무침,생채·무침류,마늘쫑무침,마늘쫑,100g,106,2.73,4.93,12.77,7.47,57,241,313,30g
무말랭이무침,생채·무침류,무말랭이무침,무,100g,121,4.2,1.55,22.5,4.1,87,405,450,20g
무생채,생채·무침류,무생채,무,100g,49,2.43,1.11,7.33,1.78,57,259,821,150g
무생채_굴,생채·무침류,무생채,굴,100g,50,3.68,1.26,5.92,4.04,58,231,366,300g
묵무침_도토리묵,생채·무침류,묵무침,묵,100g,74,0.93,2.95,10.92,1.82,19,99,319,200g
물회_오징어,생채·무침류,물회,오징어,100g,49,6.19,1.2,3.26,2.1,98,147,364,700g
미나리무침,생채·무침류,미나리무침,미나리,100g,46,1.31,2.13,5.41,2.24,56,321,765,90g
미역초무침,생채·무침류,미역초무침,미역,100g,35,1.18,1.02,5.24,1.3,25,170,452,50g
숙주나물,나물·숙채류,숙주나물,숙주,100g,35,2.22,1.58,2.96,1.58,36,80,403,50g
시금치나물,나물·숙채류,시금치나물,시금치,100g,69,3.74,4.46,3.36,0.1,58,627,136,50g
시래기나물무침,나물·숙채류,시래기나물무침,시래기,100g,114,4.32,7.28,7.74,0.54,63,75,514,50g
씀바귀나물무침,나물·숙채류,씀바귀나물무침,씀바귀,100g,97,3.87,1.73,16.57,1.28,92,245,204,90g
열무나물,나물·숙채류,열무나물,열무,100g,82,3.91,5.3,4.76,0.6,74,479,460,90g
열무나물_된장,나물·숙채류,열무나물,된장,100g,68,3.71,4.09,4.09,0.73,72,388,379,90g
유채나물,나물·숙채류,유채나물,유채,100g,96,5.8,4.6,7.82,1.98,102,453,1279,90g
참나물,나물·숙채류,참나물,참나물,100g,60,2.51,3.69,4.14,0.67,45,153,218,90g
취나물_된장,나물·숙채류,취나물,된장,100g,44,3.08,1.66,4.12,0.84,44,229,235,90g
취나물_취나물(마른것),나물·숙채류,취나물,취나물,100g,89,3.62,5.4,6.4,0,38,99,133,50g
콩나물무침,나물·숙채류,콩나물무침,콩나물,100g,69,3.86,4.54,3.2,0.5,68,129,387,50g
콩나물무침_고춧가루,나물·숙채류,콩나물무침,콩나물,100g,93,3.93,5.93,5.93,1.9,83,253,203,90g
토란대나물무침,나물·숙채류,토란대나물무침,토란대,100g,68,5.14,3.38,4.22,0.39,98,104,222,90g
호박오가리나물무침,나물·숙채류,호박오가리나물무침,호박,100g,201,6.14,10.01,21.46,6.82,133,600,1849,100g
가죽나물무침,생채·무침류,가죽나물무침,가죽,100g,76,5.83,1.35,10.05,3.81,109,448,276,80g
겉절이_배추,생채·무침류,겉절이,배추,100g,55,2.28,2.14,6.58,1.3,56,291,328,50g
겉절이_상추,생채·무침류,겉절이,상추,100g,61,2.36,3.41,5.26,2.98,55,449,431,100g
겉절이_열무,생채·무침류,겉절이,열무,100g,58,2.4,2.94,5.38,2.26,52,442,891,100g
콩밥_완두콩,밥류,콩밥,콩,100g,138,2.95,0.16,31.25,0,32,70,295,200g
국수_쟁반막국수,면 및 만두류,국수,밀,100g,119,6.68,4.56,12.81,8.12,100,245,513,450g
냉면_물냉면,면 및 만두류,냉면,밀,100g,55,1.96,0.64,10.31,4.52,25,49,161,700g
냉면_비빔냉면,면 및 만두류,냉면,밀,100g,100,5.67,2.64,13.35,4.02,62,167,177,500g
냉면_회냉면_홍어,면 및 만두류,냉면,해물,100g,148,5.81,4.02,22.21,2.84,73,161,99,500g
떡국,면 및 만두류,떡국,쌀,100g,84,3.43,0.53,16.37,0.08,34,51,176,700g
떡만두국,면 및 만두류,떡만두국,쌀,100g,111,3.53,3.91,15.47,0.01,37,91,206,600g
라면,면 및 만두류,라면,밀,100g,82,1.72,2.28,13.65,0,20,57,283,550g
라면_달걀,면 및 만두류,라면,달걀,100g,108,2.61,3.18,17.33,0.18,16,11,183,550g
라면_떡,면 및 만두류,라면,쌀,100g,96,2.04,2.92,15.27,0,21,53,270,550g
만두_고기만두,면 및 만두류,만두,돼지,100g,159,12.38,4.45,17.4,0.16,117,186,206,220g
만두_군만두,면 및 만두류,만두,밀,100g,234,7.03,11.5,25.57,2.77,90,214,385,220g
만두_김치만두,면 및 만두류,만두,김치,100g,152,10.24,4.76,17.02,0.35,93,221,393,220g
만두_물만두,면 및 만두류,만두,밀,100g,195,8.06,11.13,15.61,2.13,102,173,332,230g
만두국_사골,면 및 만두류,만두국,밀,100g,87,3.74,4,8.94,0.06,34,68,333,700g
메밀국수_온면,면 및 만두류,메밀국수,메밀,100g,63,3.14,0.29,12.06,0,27,75,194,350g
수제비,면 및 만두류,수제비,밀,100g,58,2.31,0.52,11.08,0,36,106,142,650g
스파게티_미트볼,면 및 만두류,스파게티,돼지,100g,180,7.34,8.88,17.62,0.89,85,174,218,500g
우동_일식,면 및 만두류,우동,밀,100g,158,1.78,3.22,30.48,0.02,20,39,157,800g
우동볶음,면 및 만두류,우동볶음,밀,100g,128,2.8,2.01,24.79,0.43,23,110,257,300g
